time;V(v_ov);V(vpow_dc);
0;2.76064;2.78334;
0.0001;2.76064;2.78334;
0.0002;2.76064;2.78334;
0.0004;2.76064;2.78334;
0.0008;2.76064;2.78334;
0.0016;2.76064;2.78334;
0.0032;2.76064;2.78334;
0.0064;2.76064;2.78334;
0.0128;2.76064;2.78334;
0.0228;2.76064;2.78334;
0.0328;2.76064;2.78334;
0.0428;2.76064;2.78334;
0.0528;2.76064;2.78334;
0.0628;2.76064;2.78334;
0.0728;2.76064;2.78334;
0.0828;2.76064;2.78334;
0.0928;2.76064;2.78334;
0.1028;2.76064;2.78334;
0.1128;2.76064;2.78334;
0.1228;2.76064;2.78334;
0.1328;2.76064;2.78334;
0.1428;2.76064;2.78334;
0.1528;2.76064;2.78334;
0.1628;2.76064;2.78334;
0.1728;2.76064;2.78334;
0.1828;2.76064;2.78334;
0.1928;2.76064;2.78334;
0.2028;2.76064;2.78334;
0.2128;2.76064;2.78334;
0.2228;2.76064;2.78334;
0.2328;2.76064;2.78334;
0.2428;2.76064;2.78334;
0.2528;2.76064;2.78334;
0.2628;2.76064;2.78334;
0.2728;2.76064;2.78334;
0.2828;2.76064;2.78334;
0.2928;2.76064;2.78334;
0.3028;2.76064;2.78334;
0.3128;2.76064;2.78334;
0.3228;2.76064;2.78334;
0.3328;2.76064;2.78334;
0.3428;2.76064;2.78334;
0.3528;2.76064;2.78334;
0.3628;2.76064;2.78334;
0.3728;2.76064;2.78334;
0.3828;2.76064;2.78334;
0.3928;2.76064;2.78334;
0.4028;2.76064;2.78334;
0.4128;2.76064;2.78334;
0.4228;2.76064;2.78334;
0.4328;2.76064;2.78334;
0.4428;2.76064;2.78334;
0.4528;2.76064;2.78334;
0.4628;2.76064;2.78334;
0.4728;2.76064;2.78334;
0.4828;2.76064;2.78334;
0.4928;2.76064;2.78334;
0.5028;2.76064;2.78334;
0.5128;2.76064;2.78334;
0.5228;2.76064;2.78334;
0.5328;2.76064;2.78334;
0.5428;2.76064;2.78334;
0.5528;2.76064;2.78334;
0.5628;2.76064;2.78334;
0.5728;2.76064;2.78334;
0.5828;2.76064;2.78334;
0.5928;2.76064;2.78334;
0.6028;2.76064;2.78334;
0.6128;2.76064;2.78334;
0.6228;2.76064;2.78334;
0.6328;2.76064;2.78334;
0.6428;2.76064;2.78334;
0.6528;2.76064;2.78334;
0.6628;2.76064;2.78334;
0.6728;2.76064;2.78334;
0.6828;2.76064;2.78334;
0.6928;2.76064;2.78334;
0.7028;2.76064;2.78334;
0.7128;2.76064;2.78334;
0.7228;2.76064;2.78334;
0.7328;2.76064;2.78334;
0.7428;2.76064;2.78334;
0.7528;2.76064;2.78334;
0.7628;2.76064;2.78334;
0.7728;2.76064;2.78334;
0.7828;2.76064;2.78334;
0.7928;2.76064;2.78334;
0.8028;2.76064;2.78334;
0.8128;2.76064;2.78334;
0.8228;2.76064;2.78334;
0.8328;2.76064;2.78334;
0.8428;2.76064;2.78334;
0.8528;2.76064;2.78334;
0.8628;2.76064;2.78334;
0.8728;2.76064;2.78334;
0.8828;2.76064;2.78334;
0.8928;2.76064;2.78334;
0.9028;2.76064;2.78334;
0.9128;2.76064;2.78334;
0.9228;2.76064;2.78334;
0.9328;2.76064;2.78334;
0.9428;2.76064;2.78334;
0.9528;2.76064;2.78334;
0.9628;2.76064;2.78334;
0.9728;2.76064;2.78334;
0.9828;2.76064;2.78334;
0.9928;2.76064;2.78334;
1;2.76064;2.78334;
1.0001;2.76064;2.78334;
1.00031;2.76064;2.78334;
1.00072;2.76064;2.78334;
1.00154;2.76064;2.78334;
1.00317;2.76064;2.78334;
1.00645;2.76064;2.78334;
1.01301;2.76064;2.78334;
1.02301;2.76064;2.78334;
1.03301;2.76064;2.78334;
1.04301;2.76064;2.78334;
1.05301;2.76064;2.78334;
1.06301;2.76064;2.78334;
1.07301;2.76064;2.78334;
1.08301;2.76064;2.78334;
1.09301;2.76064;2.78334;
1.10301;2.76064;2.78334;
1.11301;2.76064;2.78334;
1.12301;2.76064;2.78334;
1.13301;2.76064;2.78334;
1.14301;2.76064;2.78334;
1.15301;2.76064;2.78334;
